TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,CorrectedFate,Rear Type Code,Harvest_Status,HarvestExposure,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,ReturnedDownstream
3D9.1C2D3A91A5,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2011-09-12T12:03:00Z,2011-11-12T11:20:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A91CE,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2011-10-08T11:00:00Z,2012-05-12T00:15:00Z,URT - Upper Roaring Temporary Array,Downstream,Wenatchee,2012,2011,Below,Downstream,H,Open,1,634,31,6876.1,143,15,2877.1,1
3D9.1C2D3A9281,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2012-05-01T14:07:00Z,2012-05-23T14:15:00Z,RRJ - Rocky Reach Dam Juvenile,Downstream,Wenatchee,2012,2012,Below,Downstream,H,Open,1,634,31,6876.1,143,15,2877.1,1
3D9.1C2D3A9369,Wenatchee,WENATR - Wenatchee River,2012-07-24T22:23:00Z,2012-07-24T22:24:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A957F,Wenatchee,WENATR - Wenatchee River,2012-07-15T15:02:00Z,2012-07-15T15:02:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A9777,Wenatchee,WENATR - Wenatchee River,2012-07-19T06:34:00Z,2012-07-31T15:53:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A99AC,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2012-05-10T09:32:00Z,2012-06-13T17:00:00Z,PES - Peshastin Creek,Downstream,Wenatchee,2012,2012,Below,Downstream,H,Open,1,634,31,6876.1,143,15,2877.1,1
3D9.1C2D3A99BD,Wenatchee,WENATR - Wenatchee River,2012-09-22T09:35:00Z,2012-09-22T10:57:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A9CEF,Wenatchee,WENATR - Wenatchee River,2012-07-25T17:34:00Z,2012-10-19T12:00:00Z,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,Downstream,Wenatchee,2013,2012,Below,Downstream,H,Open,1,600,39,9666.8,72,19,1117.1,1
3D9.1C2D3A9EEC,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2012-09-19T14:04:00Z,2012-09-19T14:05:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A9F67,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2013-04-04T14:05:00Z,2013-04-20T12:21:00Z,TUF - Tumwater Dam Adult Fishway,Downstream,Wenatchee,2013,2013,Below,Downstream,H,Open,1,600,39,9666.8,72,19,1117.1,1
3D9.1C2D3AA15E,Wenatchee,WENATR - Wenatchee River,2012-07-22T10:55:00Z,2012-07-22T11:06:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3AB31D,Wenatchee,WENATR - Wenatchee River,2011-09-23T18:53:00Z,2011-09-23T18:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3ABCAC,Wenatchee,WENATR - Wenatchee River,2011-09-17T07:38:00Z,2011-09-17T07:40:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3AC45A,Wenatchee,WENATR - Wenatchee River,2012-09-01T17:41:00Z,2012-09-01T17:41:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3ACEC8,Wenatchee,WENATR - Wenatchee River,2012-07-31T06:38:00Z,2013-02-07T06:25:00Z,LWE - Lower Wenatchee River,Downstream,Wenatchee,2013,2012,Below,Downstream,H,Open,1,600,39,9666.8,72,19,1117.1,1
3D9.1C2D3AD7B0,Wenatchee,WENATR - Wenatchee River,2012-08-19T09:50:00Z,2012-08-19T09:52:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3ADA29,Wenatchee,WENATR - Wenatchee River,2012-09-22T16:04:00Z,2012-09-22T16:05:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3AEBC9,Wenatchee,WENATR - Wenatchee River,2012-08-24T08:46:00Z,2012-08-24T08:47:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
