TagCode,wells_detected,entiat_detected,upstream_detected,last_overall,last_upstream,last_detected_upstream,ReturnYear,rrf_anchor,group,ReturnMonth,ReturnSeason,wells_interaction,EntiatDetected,Harvest_Status,harvest_open,WellsYear,FallSpillHours,FallTotalSpill,SpringSpillHours,SpringTotalSpill
3D9.1C2DD9FE18,TRUE,TRUE,FALSE,2016-04-19T09:57:00Z,NA,FALSE,2015,2015-08-31T06:22:00Z,B,8,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DDA0B75,TRUE,FALSE,FALSE,2016-06-15T22:27:00Z,NA,FALSE,2015,2015-08-20T09:18:00Z,B,8,Fall,1,0,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DDA30C0,TRUE,TRUE,TRUE,2016-03-26T21:37:00Z,2016-03-13T14:04:00Z,FALSE,2015,2015-09-18T09:40:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DDA355C,TRUE,TRUE,FALSE,2015-05-10T15:27:00Z,NA,FALSE,2014,2014-07-19T12:29:00Z,B,7,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DDA377B,TRUE,FALSE,FALSE,2014-08-24T17:19:00Z,NA,FALSE,2014,2014-08-21T20:11:00Z,B,8,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2DDA7844,TRUE,TRUE,FALSE,2016-04-12T15:13:00Z,NA,FALSE,2015,2015-09-11T17:34:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DDA86B3,TRUE,FALSE,FALSE,2015-08-17T10:28:00Z,NA,FALSE,2015,2015-08-15T15:49:00Z,B,8,Fall,1,0,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DDAE3FC,TRUE,TRUE,FALSE,2014-11-06T12:58:00Z,NA,FALSE,2014,2014-08-26T16:47:00Z,B,8,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DDAFB7F,TRUE,TRUE,FALSE,2015-04-18T20:33:00Z,NA,FALSE,2014,2014-08-13T12:01:00Z,B,8,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DDB28A5,TRUE,FALSE,FALSE,2016-08-21T17:40:00Z,NA,FALSE,2016,2016-08-19T10:49:00Z,B,8,Fall,1,0,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DDB54B2,TRUE,TRUE,FALSE,2016-03-13T09:44:00Z,NA,FALSE,2015,2015-09-06T06:30:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DDB8BE6,TRUE,TRUE,FALSE,2016-03-21T20:55:00Z,NA,FALSE,2015,2015-09-17T11:34:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DE50622,TRUE,TRUE,TRUE,2015-04-17T02:00:00Z,2015-03-15T10:06:00Z,FALSE,2014,2014-09-18T09:04:00Z,B,9,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DEA993C,TRUE,TRUE,FALSE,2017-04-01T23:23:00Z,NA,FALSE,2016,2016-09-25T17:30:00Z,B,9,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DEABA1D,TRUE,TRUE,FALSE,2016-04-07T14:46:00Z,NA,FALSE,2015,2015-08-12T12:02:00Z,B,8,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DEAFDF7,TRUE,FALSE,FALSE,2016-05-23T21:02:00Z,NA,FALSE,2015,2015-10-10T06:26:00Z,B,10,Fall,1,0,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DEB626F,TRUE,TRUE,FALSE,2017-03-23T21:19:00Z,NA,FALSE,2016,2016-08-21T09:15:00Z,B,8,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DEB8AD9,TRUE,TRUE,FALSE,2017-04-29T01:26:00Z,NA,FALSE,2016,2016-08-17T21:35:00Z,B,8,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DEB9E13,TRUE,FALSE,TRUE,2017-05-13T16:46:00Z,2017-03-30T14:40:00Z,FALSE,2016,2016-09-14T09:59:00Z,B,9,Fall,1,0,Closed,0,2017,460,3623,330,17709.1
3D9.1C2DEBD1D8,TRUE,FALSE,FALSE,2016-08-04T07:32:00Z,NA,FALSE,2016,2016-08-02T07:44:00Z,B,8,Fall,1,0,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DEC94F8,TRUE,TRUE,FALSE,2016-04-24T16:26:00Z,NA,FALSE,2015,2015-09-04T14:38:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DECA546,TRUE,FALSE,FALSE,2015-08-17T09:58:00Z,NA,FALSE,2015,2015-08-14T10:13:00Z,B,8,Fall,1,0,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DEE7D1C,TRUE,TRUE,FALSE,2016-03-29T09:32:00Z,NA,FALSE,2015,2015-08-28T15:54:00Z,B,8,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3DD.007736FCB6,TRUE,FALSE,FALSE,2024-09-06T09:49:00Z,NA,FALSE,2024,2024-09-03T16:01:00Z,B,9,Fall,1,0,Open,1,NA,47,697.3,26,306.4
3DD.007736FF2C,TRUE,FALSE,FALSE,2025-01-20T17:12:00Z,NA,FALSE,2024,2024-09-21T18:55:00Z,B,9,Fall,1,0,Open,1,NA,47,697.3,26,306.4
